employer                 ,outstanding months, Name of Fund
pishon security services                                  , 252 ,  Private Security Sector Provident Fund
chubb guarding                                            , 251 ,  Private Security Sector Provident Fund
g.m.c.s.s.                                                , 251 ,  Private Security Sector Provident Fund
knightsbridge security cc (psspf)                         , 251 ,  Private Security Sector Provident Fund
masakhane security training centre                        , 251 ,  Private Security Sector Provident Fund
owen musiker specialist security solution                 , 251 ,  Private Security Sector Provident Fund
powerforce security consultants                           , 251 ,  Private Security Sector Provident Fund
xantium trading 42 (pty) ltd                              , 251 ,  Private Security Sector Provident Fund
h.a. security cc                                          , 250 ,  Private Security Sector Provident Fund
professional security assistance                          , 250 ,  Private Security Sector Provident Fund
sundra sekuritiet bpk                                     , 250 ,  Private Security Sector Provident Fund
thompsec group security cc                                , 250 ,  Private Security Sector Provident Fund
thulas security cc                                        , 250 ,  Private Security Sector Provident Fund
united security services cc                               , 250 ,  Private Security Sector Provident Fund
vikocomsec security (pty) ltd                             , 250 ,  Private Security Sector Provident Fund
mathibela security cc                                     , 249 ,  Private Security Sector Provident Fund
premier attraction 300 cc                                 , 249 ,  Private Security Sector Provident Fund
gabaza security services                                  , 248 ,  Private Security Sector Provident Fund
ikatiseng security                                        , 248 ,  Private Security Sector Provident Fund
r & lu securiteit                                         , 248 ,  Private Security Sector Provident Fund
ulwazi protection services (pty) ltd                      , 248 ,  Private Security Sector Provident Fund
abayeni investment                                        , 247 ,  Private Security Sector Provident Fund
j and m business security cc                              , 247 ,  Private Security Sector Provident Fund
meyiwa protection and construction cc                     , 247 ,  Private Security Sector Provident Fund
district monitoring                                       , 246 ,  Private Security Sector Provident Fund
money box investments67 cc                                , 246 ,  Private Security Sector Provident Fund
world focus 1775 cc                                       , 246 ,  Private Security Sector Provident Fund
evocatus security services sa                             , 245 ,  Private Security Sector Provident Fund
naphtronics (pty) ltd                                     , 245 ,  Private Security Sector Provident Fund
spes guard security                                       , 245 ,  Private Security Sector Provident Fund
wolf electronic security durban                           , 245 ,  Private Security Sector Provident Fund
sage wise security services                               , 244 ,  Private Security Sector Provident Fund
lees security                                             , 243 ,  Private Security Sector Provident Fund
south end guarding sa (pty) ltd                           , 243 ,  Private Security Sector Provident Fund
top security                                              , 243 ,  Private Security Sector Provident Fund
venus security solutions (pty) ltd                        , 243 ,  Private Security Sector Provident Fund
big guys staff and events and projects                    , 242 ,  Private Security Sector Provident Fund
eagle eye security                                        , 242 ,  Private Security Sector Provident Fund
mahlatsi security services cc                             , 242 ,  Private Security Sector Provident Fund
high five security services                               , 241 ,  Private Security Sector Provident Fund
northern security polokwane                               , 241 ,  Private Security Sector Provident Fund
ibutholentombi security services                          , 240 ,  Private Security Sector Provident Fund
spes guard security cc                                    , 240 ,  Private Security Sector Provident Fund
tracer security solutions                                 , 240 ,  Private Security Sector Provident Fund
alegro security cc                                        , 239 ,  Private Security Sector Provident Fund
bizstorm 51 cc                                            , 239 ,  Private Security Sector Provident Fund
geskriek trading enterprise                               , 239 ,  Private Security Sector Provident Fund
ratabatho business trading                                , 239 ,  Private Security Sector Provident Fund
chams security services                                   , 238 ,  Private Security Sector Provident Fund
coastal security & monitoring systems                     , 238 ,  Private Security Sector Provident Fund
crime warriors security cc                                , 238 ,  Private Security Sector Provident Fund
af guard security                                         , 237 ,  Private Security Sector Provident Fund
atlie projects cc                                         , 237 ,  Private Security Sector Provident Fund
chaka security                                            , 237 ,  Private Security Sector Provident Fund
usizo security gauteng cc                                 , 237 ,  Private Security Sector Provident Fund
electro security services                                 , 236 ,  Private Security Sector Provident Fund
jackcliffy trading                                        , 236 ,  Private Security Sector Provident Fund
lj modiba                                                 , 236 ,  Private Security Sector Provident Fund
mulisawandele protection unit cc                          , 236 ,  Private Security Sector Provident Fund
enlightened security force (pty) ltd                      , 235 ,  Private Security Sector Provident Fund
gampro (pty) ltd                                          , 234 ,  Private Security Sector Provident Fund
district bassett                                          , 233 ,  Private Security Sector Provident Fund
frn risk management & consultants                         , 233 ,  Private Security Sector Provident Fund
khuselani security and risk management (p                 , 233 ,  Private Security Sector Provident Fund
kwezi risk solution security & cleaning s                 , 233 ,  Private Security Sector Provident Fund
batlhokomedi management services                          , 232 ,  Private Security Sector Provident Fund
deep blue security                                        , 232 ,  Private Security Sector Provident Fund
mafoko security patrols (pty) ltd                         , 232 ,  Private Security Sector Provident Fund
zenzele training school                                   , 232 ,  Private Security Sector Provident Fund
black spider security & cleaning services                 , 231 ,  Private Security Sector Provident Fund
blackwatch security services                              , 231 ,  Private Security Sector Provident Fund
pp mngadi security force                                  , 231 ,  Private Security Sector Provident Fund
sheppard protection services                              , 231 ,  Private Security Sector Provident Fund
westdene vehicle protection cc                            , 231 ,  Private Security Sector Provident Fund
bradenton professional security service (                 , 229 ,  Private Security Sector Provident Fund
mafeta-napogadi trading and projects                      , 229 ,  Private Security Sector Provident Fund
sihle security services cc                                , 229 ,  Private Security Sector Provident Fund
wolf electronic lowveld (pty) ltd                         , 229 ,  Private Security Sector Provident Fund
r1 security services cc                                   , 228 ,  Private Security Sector Provident Fund
sbu and sbo security services (pty) ltd                   , 228 ,  Private Security Sector Provident Fund
xanta business opportunities                              , 228 ,  Private Security Sector Provident Fund
code solomon protection cc                                , 227 ,  Private Security Sector Provident Fund
d naicker ta class security                               , 227 ,  Private Security Sector Provident Fund
moloi security                                            , 227 ,  Private Security Sector Provident Fund
pps monitering & reaksie                                  , 227 ,  Private Security Sector Provident Fund
alert security and armed response services                , 226 ,  Private Security Sector Provident Fund
dinatla solutions                                         , 226 ,  Private Security Sector Provident Fund
e.v.s. systems (pty) ltd                                  , 226 ,  Private Security Sector Provident Fund
crewe's communication and security services               , 225 ,  Private Security Sector Provident Fund
sonqoba security (pty) ltd                                , 225 ,  Private Security Sector Provident Fund
hp louw                                                   , 224 ,  Private Security Sector Provident Fund
khuba security services cc                                , 224 ,  Private Security Sector Provident Fund
premier attraction 722 security                           , 224 ,  Private Security Sector Provident Fund
tower city trading 168 cc                                 , 224 ,  Private Security Sector Provident Fund
bassett burglar alarms                                    , 223 ,  Private Security Sector Provident Fund
collett armed security services                           , 223 ,  Private Security Sector Provident Fund
manelisi security services cc                             , 223 ,  Private Security Sector Provident Fund
adventurer security                                       , 222 ,  Private Security Sector Provident Fund
